,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-105027408346,10.1007/s12559-025-10544-9,,,Leveraging Segmentation and Visibility Graph Analysis To Enhance Motor Imagery Classification in EEG Signals,ar,Article,Mohammady F.,60003666;60033391,University of Mazandaran;Shahrood University of Technology,Babolsar;Shahrood,Iran;Iran,3,"Mohammady, Fatemeh;Asadi Amiri, Sekineh;Mohammadpoory, Zeynab",60332001000;60331591700;57191069937,60003666;60003666;60033391,2026-12-01,December 2026,Cognitive Computation,18669956,19400158515,18669964,Journal,18,1,8,,"Motor Imagery Brain-Computer Interfaces (MI-BCIs) employ machine learning to interpret brain activity patterns associated with imagined movements, translating them into commands for external devices. In recent years, Visibility Graph (VG) methods have been widely used for analyzing biological signals such as electroencephalography (EEG), demonstrating promising results. This paper introduces a novel MI-BCI system based on VG analysis. Our proposed method for classifying left- and right-hand motor imagery consists of two approaches: global and local. In the global approach, each EEG channel is transformed into a graph, and fifteen features are extracted. This graph-based transformation preserves the complex relationships within EEG signals, enhancing the feature extraction process. The features are then reduced using the Minimum Redundancy Maximum Relevance (mRMR) method, which improves computational efficiency and reduces overfitting risks. The classification is performed using Linear Discriminant Analysis (LDA), K-Nearest Neighbors (KNN), and Random Forest (RF). In the local approach, each trial is divided into three segments, and each segment is converted into a graph with fifteen extracted features. The mRMR method is again applied for feature selection, and classification is performed on each segment, with majority voting determining the final class. The results indicate that the proposed method outperforms the global approach, achieving mean accuracy, sensitivity, precision, and F1-score of 74.62%, 76.36%, 74.77%, and 74.74%, respectively, for the classification of motor imagery tasks involving left- and right-hand movements. A comparison with previous studies using the same dataset confirms the superior performance of the proposed method.",Brain computer interface | Electroencephalography | Motor imagery | Visibility graph,0,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
1,2-s2.0-105027299893,10.1007/s10238-025-01866-x,,41348242,Integrating multi-omics data to resolve patterns of ion channel regulation in melanoma and predict tumor treatment response,ar,Article,Xing J.,60069744;60073448,"General Hospital of People's Liberation Army;Plastic Surgery Institute & Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College",Beijing;Beijing,China;China,4,"Xing, Jiahua;Chen, Muzi;Tao, Ran;Yang, Mingyong",57226561361;57286036700;58773468100;7404925922,60073448;60069744;60069744;60073448,2026-12-01,December 2026,Clinical and Experimental Medicine,15918890,29302,15919528,Journal,26,1,100,,"Skin cutaneous melanoma (SKCM) represents a highly aggressive malignancy with rising incidence, characterized by early metastatic potential and development of treatment resistance in advanced stages. While ion channel-related genes (ICRGs) demonstrate therapeutic relevance across cancers, their role in SKCM remains incompletely defined. A comprehensive assessment of ICRG regulatory patterns was conducted in SKCM samples using single-cell spatial transcriptomic and multi-omics data. These patterns were correlated with tumor microenvironment (TME) cell infiltration characteristics to construct ICRG scores quantifying tumor-specific ICRG modification patterns. The ICRG.Gene.cluster stratifies samples into two distinct subpopulations representing divergent immune phenotypes. An ICRG scoring system is constructed based on ICRG phenotype genes and validated in independent cohorts. Through ICRG-associated gene profiling, CD8⁺ T cells are categorized into five subsets, all exhibiting significant temporal dynamics in pseudotime analysis. Spatial transcriptomics confirms prominent co-localization spots between the C3 CD8⁺ T cell subset and melanoma cells. SCENIC analysis identifies that specific ICRG genes function as target nodes regulated by transcription factors. Core ICRG genes demonstrate elevated expression in both cell lines and clinical specimens, supporting their potential role as disease-associated genetic risk loci. ICRG modification patterns provide critical insights into TME infiltration heterogeneity, enabling refined prognostic assessment and therapeutic targeting strategies.",Ion channel genes | Melanoma | Multi-omics | Prognosis | Treatment response,0,1,all publisherhybridgold repository repositoryam,All Open Access Hybrid Gold Green,,,
2,2-s2.0-105022078059,10.1007/s10238-025-01894-7,,41249578,Single-cell transcriptomics identifies SOCS3+ exhausted T cells as a biomarker facilitating clear cell renal cell carcinoma progression,ar,Article,Jiang X.,60025234;133403086,Naval Medical University;Yingtan Municipal People’s Hospital,Shanghai;Yingtan,China;China,6,"Jiang, Xiaoqin;Xu, Yifan;Wu, Zhenjie;Gan, Xinxin;Zhuo, Zhiyuan;Peng, Guanghui",57465143900;56872106100;41862762400;57077904000;59434149700;60198560100,60025234;60025234;60025234;60025234;60025234;133403086,2026-12-01,December 2026,Clinical and Experimental Medicine,15918890,29302,15919528,Journal,26,1,7,,"Clear cell renal cell carcinoma (ccRCC), a prevalent renal malignancy with limited early symptoms, demonstrates immunotherapy sensitivity in advanced stages. This study investigates how exhausted T cells drive ccRCC progression through single-cell transcriptomics. Re-analysis of a single-cell transcriptomic dataset was performed through dimensionality reduction and clustering to annotate cells into distinct populations, followed by comprehensive characterization of cellular composition and subset-specific features. Prognostically relevant genes were identified via differential gene expression (DGE) analysis, and a nomogram prediction model was constructed using Cox regression analysis, with validation through Kaplan–Meier (KM) survival curves and risk score plots. Functional annotation of SOCS3+ exhausted T cells was achieved via gene ontology (GO) and reactome pathway enrichment analyses. Cell–cell communication networks involving SOCS3+ exhausted T cells were delineated using ligand–receptor interaction profiling. Single-cell transcriptomic data were annotated into nine distinct cellular populations, among which SOCS3+ exhausted T cells demonstrated significant prognostic relevance. A nomogram prediction model incorporating SOCS3 and N4BP1 effectively stratified patients into low- and high-risk groups with superior prognostic predictive power compared to conventional parameters. Cell–cell communication analysis revealed that SOCS3+ exhausted T cells interact with myeloid cells through the MIF signaling pathway. Integrated single-cell transcriptomic analysis demonstrates that SOCS3+ exhausted T cells promote tumor resistance to cytotoxic killing and serve as a robust prognostic biomarker in ccRCC patients.",Biomarker | Exhausted T cell | Renal cell carcinoma | Single-cell transcriptomics | Tumor environment,0,1,all publisherhybridgold repository repositoryam,All Open Access Hybrid Gold Green,,,
3,2-s2.0-105027426803,10.1016/j.gep.2026.119406,S1567133X26000013,41520694,Exploring NPM1P51 as a key biomarker for glaucoma by integrating differential gene expression analysis and artificial neural network models,ar,Article,Vaishnavi ,60076774;133643050,Amity University;BioinfoCore Solutions (OPC) Pvt. Ltd.,Noida;Lucknow,India;India,3,"Vaishnavi, ;Garg, Prekshi;Srivastava, Prachi",60332924100;57486796900;7202310832,60076774;133643050;60076774,2026-06-01,June 2026,Gene Expression Patterns,1567133X,22122,18727298,Journal,57,,119406,,"Glaucoma is a group of optic neuropathic conditions in which the progressive degeneration of retinal ganglion cells (RGC) occurs, ultimately leading to irreversible vision loss. Despite our understanding of pathophysiology, potential biomarkers and early detection are still very limited. Hence, there is an urgent need to find the potent molecular biomarker of Glaucoma so that early diagnosis and personalised glaucoma treatment can be possible. In this study, we performed comparative transcriptomic analyses to discern differentially expressed genes (DEGs) linked with Glaucoma. The aim is to find a robust candidate biomarker to facilitate early diagnosis and characterisation of Glaucoma. Advanced feature selections are performed by employing DEG identification and machine learning algorithms, enabling the selection of highly prognostic relevance genes. Furthermore, Artificial neural network (ANN) models were developed to recognise the complicated nonlinear patterns within high-dimensional data and identify the most promising genes having a potent role in glaucoma progression and risk prediction. After the analysis, NPM1P51 turned out to be the most significant contributor after performing multiple analyses, suggesting it to be a strong pseudogene biomarker. Further, CACNG7 showed moderate results in Garson and Olden plots, but better in Generalised weight plots. It encodes a subunit of the voltage-gated calcium channel complex, aligning with already established roles in the mechanisms of neurodegeneration in glaucoma, particularly in apoptosis of retinal ganglion cells through calcium dysregulation. These results provide a foundation for further experimental validations and therapeutic interventions.",Artificial neural network (ANN) and biomarkers | Differential gene analysis | Glaucoma | Machine learning algorithms,0,0,,,,,
4,2-s2.0-105027398275,10.1016/j.compbiolchem.2026.108895,S1476927126000204,41518988,"Knowledge graph integration of clustered medicinal plants, molecules, diseases, and targets",ar,Article,Shajil U.K.,60013170;129854699;133643214,National Institute of Technology Calicut;UL Research Centre;Open Source Pharma Foundation Manyata Tech Park MFAR Green Heart Building,Kozhikode;Kozhikode;Bengaluru,India;India;India,6,"Shajil, U. K.;UCA, Jaleel;Sathish, S.;EPA, Sandesh;Sujith, A.;Nair, Baiju G.",59734445000;60332614800;58344412700;60333145300;8947410400;55965216000,60013170;133643214;133643214;129854699;60013170;60013170,2026-06-01,June 2026,Computational Biology and Chemistry,14769271,24599,,Journal,122,,108895,,"This study builds on the premise that phytochemicals, when co-existing across multiple plant species, tend to form structural and functional clusters. While individual compounds may exhibit distinct pharmacological properties in isolation, their behaviour within molecular clusters often diverges, potentially leading to emergent synergistic effects. Leveraging this insight, we systematically analysed 490 phytoconstituents derived from ten medicinal plants belonging to the Dasamoola group. Through chemoinformatic clustering using K-Means and dimensionality reduction via t-SNE, these molecules were organised into 49 structurally coherent clusters. Pharmacological relevance was assessed by mapping clusters to 87 ICD-11-classified disease conditions, thereby integrating clustering, ICD-11 mapping, and knowledge-graph visualization into a unified workflow that can serve as a template for analysing other complex polyherbal formulations. Heat map analyses revealed significant correlations between molecular clusters and disease phenotypes, indicating potential poly pharmacological mechanisms. To further elucidate these relationships, predicted molecular targets were integrated with disease ontologies using a Neo4j-based knowledge graph framework. This network-based approach enabled the visualization of molecule–target–disease associations, suggesting mechanistic insights that extend beyond conventional reductionist perspectives in an exploratory manner. Overall, our findings suggest potential molecular–target–disease associations that link structurally related phytochemicals to defined disease categories through shared biological targets. These associations indicate plausible network-level relationships and offer new avenues for, understanding the systems-level pharmacology of traditional medicinal formulations, generating testable hypothesis that warrant further experimental validation.",AI-based therapeutic mapping | Chemical space analysis | K means clustering | Molecular clustering | Neo4j knowledge graph,0,0,,,NITC,,National Institute of Technology Calicut
5,2-s2.0-105026699257,10.1016/j.ejro.2026.100725,S235204772600002X,,A biology-informed radiomics model for prognostication of hepatocellular carcinoma based on AKR1B10 expression,ar,Article,Ying H.,60122333;109489724,Taizhou First People's Hospital;Traditional Chinese Medicine Hospital of Huangyan,Taizhou;Taizhou,China;China,3,"Ying, Hongan;Huang, Lili;Hong, Weiwen",57214825300;57203942515;56214981100,109489724;60122333;109489724,2026-06-01,June 2026,European Journal of Radiology Open,,21100369845,23520477,Journal,16,,100725,,"Background: Current radiomic models for hepatocellular carcinoma (HCC) prognosis rely on direct correlations between imaging features and clinical outcomes, resulting in limited biological interpretability and restricted clinical applicability. This study explores a novel biology-driven radiomic strategy focusing on AKR1B10. AKR1B10 is a functionally established molecular driver of HCC progression, and the study aims to develop an interpretable prediction model bridging imaging phenotypes and underlying tumor biology. Methods: We analyzed multi-institutional data from The Cancer Genome Atlas (TCGA) and The Cancer Imaging Archive (TCIA). After confirming the prognostic significance of AKR1B10 expression through survival and enrichment analyses, we developed a radiomics model using a cohort of 34 patients with matched computed tomography (CT) images and genomic data. Tumor and peritumoral regions were segmented, and 107 radiomic features were extracted. Feature selection was performed using maximum-relevance-minimum-redundancy (mRMR) and recursive feature elimination (RFE) algorithms, with subsequent model building via logistic regression. The model was evaluated using ROC analysis, calibration curves, and decision curve analysis. Finally, we constructed a prognostic nomogram integrating the radiomics signature with clinical variables. Results: AKR1B10 overexpression was significantly associated with poor overall survival (HR = 2.187, 95 % CI: 1.385–3.454, P < 0.001) and characteristic activation of oncogenic pathways. The radiomics model demonstrated strong performance in predicting AKR1B10 status (AUC = 0.83, 95 % CI: 0.69–0.97), with significant difference in rad-scores between AKR1B10 high- and low-expression groups (P < 0.001). The integrated nomogram showed excellent predictive accuracy for 3-year survival (AUC = 0.85) and provided clinical net benefit across threshold probabilities. Conclusions: The biology-informed radiomics model based on AKR1B10 expression demonstrates strong prognostic performance in hepatocellular carcinoma. By directly linking imaging phenotypes to a key molecular driver of HCC, this approach provides a clinically applicable and biologically interpretable tool for pre-operative risk prediction.",AKR1B10 | Computed tomography | Hepatocellular carcinoma | Prognosis | Radiomics model,0,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,25ywb151,Taizhou Municipal Science and Technology Bureau
6,2-s2.0-105026660384,10.1016/j.ins.2025.123044,S0020025525011818,,Many-objective island-based evolutionary algorithm for biomarker selection and cancer molecular diagnosis in high-dimensional omics data,ar,Article,Marium S.,60070602,National University of Computer and Emerging Sciences Lahore,Lahore,Pakistan,3,"Marium, S.;Alamgir, Z.;Younas, I.",60331304400;23476768300;55298647500,60070602;60070602;60070602,2026-04-15,15 April 2026,Information Sciences,00200255,15134,,Journal,735,,123044,,"Cancer subtype diagnosis using gene expression data presents major challenges driven by the high-dimensional nature of the data, noise, redundancy, and limited sample sizes. Although multi-objective evolutionary algorithms (MOEAs) have shown promise in addressing these issues, existing methods often exhibit limited scalability, reduced robustness to biological heterogeneity, diminished solution diversity, and restricted interpretability. To overcome these limitations, this study introduces a scalable and interpretable MOEA framework tailored for large-scale cancer subtype classification. The algorithm incorporates a strategic partitioning of genetic features into convergence-related and diversity-related subsets, supported by an interaction analysis that groups correlated features. A distributed island model further enhances computational scalability and maintains solution diversity through localized optimization and controlled migration. Final solutions are refined using non-dominated sorting to balance the four objectives: classification accuracy, feature subset size, feature relevance, and feature redundancy. Experimental results show that the proposed framework outperforms existing MOEAs, yielding compact and robust gene subsets with improved generalizability and biological interpretability. These findings highlight a significant advancement toward scalable and clinically translatable cancer subtype stratification in high-dimensional omics settings.",Cancer subtype classification | Clustering and feature selection | Gene expression data analysis | Island model optimization | Many-objective optimization | Scalable evolutionary computing,0,0,,,,,
7,2-s2.0-105028025443,10.1016/j.cancergen.2026.01.003,S2210776226000037,41518973,Identifying transcriptional signatures of leukocytes in tissue and blood for multicancer diagnosis by using machine learning methods,ar,Article,Ma Q.L.,60023813;60102083;60025785;60273065;60016541;100468539,Shanghai University;Shenzhen Institutes of Advanced Technology;Shanghai Maritime University;Shanghai Institute of Nutrition and Health;Shanghai Polytechnic University;Guangdong AIB Polytechnic College,Shanghai;Shenzhen;Shanghai;Shanghai;Shanghai;Guangzhou,China;China;China;China;China;China,9,"Ma, Qing Lan;Ren, Jing Xin;Chen, Lei;Guo, Wei;Feng, Kai Yan;Zhang, Yu;Shen, Wen Feng;Huang, Tao;Cai, Yu Dong",58067049000;57929974000;35239693200;57212659397;24334541600;59485025700;35184058400;56542142100;7401750419,60023813;60023813;60025785;60102083;100468539;60023813;60016541;60273065;60023813,2026-04-01,April 2026,Cancer Genetics,22107762,19700202610,22107770,Journal,302-303,,,13-26,"Investigating the transcriptional signatures of immune cells in various cancer types is crucial for understanding their roles in the tumor microenvironment and developing effective immunotherapeutic strategies. In this study, we employed machine learning methods to analyze RNA-seq data from patients with four different types of cancers and two immune cell types, including T cell and CD45+CD3− leukocyte cell types. We processed seven datasets, each divided into three groups on the basis of cell source: tumor, normal adjacent tissue, and peripheral blood. The datasets were downscaled by using the Boruta method, and the remaining genes were ranked for criticality in a list through the max-relevance and min-redundancy method. The obtained list of genes was fed into incremental feature selection (IFS), which employed decision tree or random forest to distinguish cells, for the identification of key genes associated with immune cell function in different cancer types and construction of efficient classifiers and classification rules (special patterns for different groups). Our results revealed distinct expression patterns of key genes, such as the downregulation of CST7 in T cells from tumor tissues and differential expression of CD2 in non-tumor sites. Furthermore, we identified LCP1, CD27, and MAL as immunologically relevant genes in T cells across different tissue origins, whereas IFI30, CXCR4, and FOSB played various roles in CD45+CD3− leukocytes. The identified key genes were supported by evidence in the literature, highlighting their involvement in antitumor processes in T cells and other immune cells. Our findings provide valuable insights into the transcriptional signatures of immune cells in different cancer types and lay the foundation for the development of novel diagnostic, prognostic, and therapeutic strategies in cancer immunology.",Cancer | Leukocytes | Machine learning | Transcriptional signatures,0,0,,,,,
8,2-s2.0-105026701688,10.1016/j.fsigen.2025.103419,S1872497325001991,41512512,Long non-coding RNAs in human peripheral blood as biomarkers for age prediction,ar,Article,Chen A.,60009860;60073626;60108780;107233280,Fudan University;School of Life Sciences Fudan University;Ministry of Public Security of the People's Republic of China;Academy of Forensic Science,Shanghai;Shanghai;Beijing;Shanghai,China;China;China;China,10,"Chen, Anqi;Xuan, Yujia;Yang, Fan;Liu, Yanan;Zhao, Jinyuan;Liao, Mengxiao;Lu, Yanfang;Xing, Yu;Zhang, Suhua;Li, Chengtao",57192671023;60009634700;57198991769;55606698400;60010312400;59674707300;59674323600;60146207500;9042199500;35272755300,60009860;60009860;60108780;60108780-60073626;60009860;60009860;60009860;60009860;60009860;60009860-107233280,2026-03-01,March 2026,Forensic Science International Genetics,18724973,5700191205,18780326,Journal,82,,103419,,"Chronological age is a critical biological trait with substantial relevance in forensic investigations. Growing evidence highlights the role of long non-coding RNAs (lncRNAs) in aging, but the application in age prediction remains largely unexplored. To evaluate the potential of lncRNAs for age prediction, we analyzed RNA-seq data from peripheral blood samples of Han Chinese individuals. Differential expression analysis identified a series of differentially expressed lncRNAs (DElncRNAs) among multiple age group comparisons, with the most significant expression changes observed between the youngest (18–27 years) and older (68–77 years) age groups. GO and KEGG enrichment analysis of target genes indicated that these lncRNAs were involved in mitochondrial function, telomere maintenance, and pathways related to neurodegenerative disease. Additionally, Spearman's correlation analysis further identified 20 lncRNAs significantly associated with age as candidate markers, which were subsequently used to construct age prediction models using six machine learning algorithms. The XGBoost model achieved the best performance, with a mean absolute error (MAE) of 8.04 years (R<sup>2</sup> = 0.66) in the test cohort. External validation was conducted using two independent datasets (GSE124326 and GSE177044). The XGBoost and LightGBM models consistently outperformed the other models, with MAEs ranging from 7.99 to 8.21 years. These findings demonstrated the feasibility of lncRNA-based age prediction, providing novel biomarkers and methodological insights for forensic age estimation.",Age prediction | LncRNA | Machine learning | Peripheral blood | RNA-seq,0,0,,,NSFC,82293650,National Natural Science Foundation of China
9,2-s2.0-105021077085,10.1016/j.bspc.2025.109075,S1746809425015861,,Scalar and vector features selection from hyperspectral images for ML classifiers to compare the effects of X-ray and carbon ion radiations in probability space,ar,Article,Irimescu I.N.,60003161;60033150;132941292,National University of Science and Technology POLITEHNICA Bucharest;Universitatea de Medicina si Farmacie Carol Davila din Bucuresti;National Institute for Research and Development in Physics and Nuclear Engineering “Horia Hulubei”,Bucharest;Bucharest;Magurele,Romania;Romania;Romania,8,"Irimescu, I. N.;Tarba, N.;Popescu, R.;Tudor, M.;Savu, D.;Pleava, Ana M.;Scarlat, E. N.;Mihailescu, M.",57395296400;57223104037;55880939900;57212659828;57218103760;58245163000;60173158200;8082987200,60003161;60003161;60033150;132941292;132941292;60003161;60003161;60003161,2026-03-01,March 2026,Biomedical Signal Processing and Control,17468094,4700152237,17468108,Journal,113,,109075,,"The aim of this study is to find an appropriate group of spectral features for a multi-class machine learning (ML) architecture that provides a fast, effective, and accurate discrimination of chondrosarcoma nuclei irradiated with carbon ions (CI), X-rays (XR), and non-irradiated (REF), and that can be used for comparative assessment of the effects caused by the two types of radiation. The candidates were four groups of scalar and vector features drawn from the hyperspectral images (HIS) of the SW1353 chondrosarcoma line whose selection was guided by criteria including features relevance, cross entropy loss, robustness, running times, memory usage, and overall classification accuracy. The best results are obtained for six scalar features restricted to 415–460 nm spectral window. The associated ML classifier is subsequently used to compare the specific changes provoked by X-rays and carbon-ions by the help of the distance metric in the probability space where sorting is formally considered the action of prediction operators. We introduce the concept of confusion domain as a suitable approach able to disclose different shifts of the spectral features of SW1353 cells by type of irradiation. The findings exhibit consistency across all sections of the confusion domain thus supporting the conclusions on the different effects of radiation type. The results indicate that REF class is closer to XR class than to CI class and consequently X-rays produce weaker changes to the relevant spectral properties compared to carbon-ions. The biological resilience of the cells’ nuclei is higher against X-rays than against carbon-ions irradiation. The practical significance of our study lies in demonstrating the possibility to automate the decision-making process in measuring the amplitude of the ionizing radiation effects at single cell level, using HSI of unstained nuclei, with potential impact in radiotherapy of radioresistant cells.",Chondrosarcoma cells | Confusion domain | Distances in probability space | Hyperspectral images | Ionizing radiation | ML classifiers | Scalar and vector features,1,1,all publisherhybridgold,All Open Access Hybrid Gold,,107066,"Ministry of Education and Research, Romania"
