,ID,Title,Abstract,Keywords,Publication date
0,"41568381
21965334
25114853
30591591
39979291
28423537
18566595
36807772
40405250
38066053
33611062
40216744
33859752
33771888
33579739
25516281
34717010
26476454
38808672
12808457
16199517
29092952
32124325
39668858
30341162
21527027
32913985
11752295
18510923
18692464
27851913
15322536
21546393
35867773
34203451
36988587
39890548
31607562
38571964
22465232
38001911
39273290
31078738
35853825
38710724
34990009",Integrative multi-omics stratification and translational evaluation of Treg-targeted combination immunotherapy in breast cancer.,"Immunosuppressive breast cancer subtypes driven by regulatory T cells (Tregs) remain under-characterized, limiting precise identification of patients who may benefit from immunomodulatory therapies. Tregs are key mediators of immunosuppression within the tumor microenvironment (TME) and are closely associated with resistance to immune checkpoint inhibitors (ICIs). Therefore, defining and characterizing tumors with predominant Treg-mediated immunosuppression is essential for optimizing the use of Treg-targeted and combination immunotherapies.
We applied an unsupervised multi-omics integration approach across four molecular layers - mRNA, miRNA, DNA methylation, and proteomics -to identify immunologically distinct subtypes of breast cancer. Autoencoder-based dimensionality reduction followed by consensus clustering revealed a subgroup characterized by high Treg infiltration and immunosuppressive signaling, referred to as the Treg-enriched subtype. To evaluate therapeutic strategies, we employed a spatial quantitative systems pharmacology (spQSP) model simulating tumor-immune dynamics and tested Treg-targeted and PD-1 blockade therapies both alone and in combination. 
The C2 cluster exhibited elevated Treg-related signatures and a highly immunosuppressive tumor microenvironment. A similar Treg-enriched cluster was also identified in an independent cohort, supporting the robustness and clinical relevance of this immunosuppressive subtype. In-silico simulations performed under a C2-like, immunosuppressive context predicted that combining Treg-targeted therapy with PD-1 blockade would substantially enhance immune activation and tumor control compared with monotherapy. To experimentally validate these predictions, combination treatment of a CCR8 inhibitor (IPG7236) and anti-PD-L1 antibody demonstrated greater tumor growth inhibition than either monotherapy in the EMT6 model, confirming the predicted therapeutic synergy in Treg-enriched, immune-suppressive tumors.
This study identifies Treg-enriched and immunosuppressive breast cancer subtype through integrative multi-omics analysis and demonstrates, through both in-silico and ","breast cancer"", ""immunosuppressive tumormicroenvironment"", ""multi-omics"", ""patient stratification"", ""regulatory T cells (Tregs)"", ""translational oncology",2026-01-22
1,41518988,"Knowledge graph integration of clustered medicinal plants, molecules, diseases, and targets.","This study builds on the premise that phytochemicals, when co-existing across multiple plant species, tend to form structural and functional clusters. While individual compounds may exhibit distinct pharmacological properties in isolation, their behaviour within molecular clusters often diverges, potentially leading to emergent synergistic effects. Leveraging this insight, we systematically analysed 490 phytoconstituents derived from ten medicinal plants belonging to the Dasamoola group. Through chemoinformatic clustering using K-Means and dimensionality reduction via t-SNE, these molecules were organised into 49 structurally coherent clusters. Pharmacological relevance was assessed by mapping clusters to 87 ICD-11-classified disease conditions, thereby integrating clustering, ICD-11 mapping, and knowledge-graph visualization into a unified workflow that can serve as a template for analysing other complex polyherbal formulations. Heat map analyses revealed significant correlations between molecular clusters and disease phenotypes, indicating potential poly pharmacological mechanisms. To further elucidate these relationships, predicted molecular targets were integrated with disease ontologies using a Neo4j-based knowledge graph framework. This network-based approach enabled the visualization of molecule-target-disease associations, suggesting mechanistic insights that extend beyond conventional reductionist perspectives in an exploratory manner. Overall, our findings suggest potential molecular-target-disease associations that link structurally related phytochemicals to defined disease categories through shared biological targets. These associations indicate plausible network-level relationships and offer new avenues for, understanding the systems-level pharmacology of traditional medicinal formulations, generating testable hypothesis that warrant further experimental validation.","AI-based therapeutic mapping"", ""Chemical space analysis"", ""K means clustering"", ""Molecular clustering"", ""Neo4j knowledge graph",2026-01-11
2,"41387731
36137835
36416120
38216661
37375323
17540680
26286630
33126248
33108242
37380659
37991131
38212230
32526247
34498681
31819106
35303580
35016102
33876181
36084602
31180870
33930763
36304293
27293244
30964868
15852500
15244698
33515240
37023541
22355776
23884293
21468687
21314937
31680165
34841595
33293078
38074293
19063996
31428582
28696334
29707986
35306934
12108579
14684422
11807556
10359783
20842727
21379579
23698379
22972474
14695408
28916538
16616334
25016594
40556012
24316975
20189874
20098429
20100965
17389037
38319971
22975805
31707044",Feature learning augmented with sampling and heuristics (FLASH) improves model performance and biomarker identification.,"Big biological datasets, such as gene expression profiles, often contain redundant features that degrade model performance and limit generalization across independent datasets with complexities like class imbalance and hidden sub-clusters. To overcome challenges, we present 'FLASH', a novel feature selection method combining filtration and heuristic-based systematic elimination. FLASH generates random samples and computes p-values for each feature using multiple statistical tests (t-test, ANOVA, Wilcoxon Rank-Sum, Brunner-Munzel, Mann-Whitney). Features are scored by aggregating significant p-values across samples. The coefficient from the machine learning model with the highest accuracy on the filtered features is used to rank them. Recursive elimination with cross-validation systematically removes features while monitoring accuracy. The final subset is selected based on the highest performance during elimination, to achieve effective feature selection. We show that our method preserves predictive performance on independent datasets. Our comprehensive evaluation across diverse datasets showed that FLASH outperforms the compared feature selection methods dRFE, Mutual information, MRMR, ElasticNet, NeuralNet, Permutation test and SAGA within the scope of our tested datasets and evaluation settings. Additionally, features selected by FLASH demonstrated greater biological relevance, as evidenced by higher overlap with disease-associated genes from DisGeNET in an independent dataset.","AI-based therapeutic mapping"", ""Chemical space analysis"", ""K means clustering"", ""Molecular clustering"", ""Neo4j knowledge graph",2025-12-13
3,"41331264
16963055
38264914
32593128
38185705
38653154
30747785
38001797
38062966
36004821
39251098
35163436
30552681
30552681
24726549
38048927
33884101
19043405
24338162
39394750
38932801
39326099
21968012
33997400
37978414
23901008
39797212
16702488
34360526
39625463
39747941
40191328
39116326
9057068
26136232
21372786
18772869
27638646
20635395
22291759
11752295
27048349
29080840
29706965
37591108
33034924
29143812
16990141
30335862
39831055
11846609
32939066
31898477
36800973
32572937
31646595
31378917
24769323
35658236
35430261
34785385
28511344
29567537
29980168
33771655
36592787
27461572
38817362
36917190
29686513
37962256
23888344
36936871
32593198
11259552
20215409
27573892
10674269
12395208
11557576
33408524
24072493
27453460
18215621
32949698
31972363
34351558
28667184
34043986
25658461
23948643
30613267
35937000
30983393
31633800
38839842
26942882
26864406
32269037
29532063
31106325
27436868
32152583
31416346
29650121
35595537
30850846
23157436
27645580
26418249
24880487
30522095
37697288
36684609
39212657
37307911",Machine learning-based prediction of drug response in ischemia reperfusion animal model.,"Myocardial ischemia is a major global contributor to mortality. While reperfusion therapy remains the most effective treatment, it paradoxically leads to myocardial ischemia-reperfusion (MI/R) injury, resulting in irreversible cardiac damage for which no effective interventions currently exist. This underscores the pressing need to unravel the pathogenesis of MI/R injury and devise new therapeutic strategies. In this study, supervised machine learning models, including logistic regression (LR), support vector machines (SVM), random forests (RF), neural networks (NN), and k-nearest neighbors (kNN), were utilized to predict treatment response. The models incorporated molecular and biochemical features to evaluate three drugs: trans-Anethole (TNA), pentoxifylline (PTX), and cyanidin-3-O-glucoside (Cy3G). The sequential forward selection (SFS) method was employed to select the most relevant features for prediction. To assess model performance, metrics such as precision, accuracy, recall (sensitivity), specificity, and the Matthews Correlation Coefficient (MCC) were analyzed for both reduced and complete models. Among the classifiers, kNN demonstrated notable performance, achieving an accuracy of 0.9156 ± 0.0242 and an average area under the ROC curve (AUC) of 0.90 across three cross-validation iterations surpassing all other classifiers. This observed performance is in line with recent literature that employs advanced computational methods in similar domains. A key advantage of our study is the use of a two-layer framework-integrating molecular signatures with biochemical markers-which can provide improved robustness and biological relevance. This multi-layer integration enhances interpretability and better reflects the multifactorial nature of MI/R injury, while supporting model generalization. Feature selection identified one molecular marker (SOX5) and two biochemical markers (dP/dtmax and cTnT) as significant predictors of drug response. This integrative approach has the potential to enhance personalized therapy for myocardial ischemia by enabling precise drug response predictions and guiding the development of targeted treatment strategies.","Anti-inflammatory therapy"", ""Cardioprotection"", ""Dose-dependent effects"", ""Epigenetic regulation"", ""Machine learning"", ""Myocardial Ischemia-Reperfusion (MI/R) injury",2025-12-03
4,"41301201
33974890
30785707
35779479
34839186
32708429
16119262
18831793
32890978
31222027
23777239
18310618
26520484
16844704
31085273
29989970
34368836
40402699
39179674
16026974
31182017",A Multi-Task Ensemble Strategy for Gene Selection and Cancer Classification.,"Gene expression-based tumor classification aims to distinguish tumor types based on gene expression profiles. This task is difficult due to the high dimensionality of gene expression data and limited sample sizes. Most datasets contain tens of thousands of genes but only a small number of samples. As a result, selecting informative genes is necessary to improve classification performance and model interpretability. Many existing gene selection methods fail to produce stable and consistent results, especially when training data are limited. To address this, we propose a multi-task ensemble strategy that combines repeated sampling with joint feature selection and classification. The method generates multiple training subsets and applies multi-task logistic regression with ℓ2,1 group sparsity regularization to select a subset of genes that appears consistently across tasks. This promotes stability and reduces redundancy. The framework supports integration with standard classifiers such as logistic regression and support vector machines. It performs both gene selection and classification in a single process. We evaluate the method on simulated and real gene expression datasets. The results show that it outperforms several baseline methods in classification accuracy and the consistency of selected genes.","gene expression-based tumor classification"", ""gene selection"", ""multi-task ensemble strategy",2025-11-27
5,"41300918
38137148
28017579
34141867
32825279
26061751
28031556
28476144
33244057
33628600
25109877
29625051
32076369
34238766
27344275
32158610
24348513
25379140
20865778
28019039
38666818
26704973
38914930
25605792
29016839
23522326
31249432
31881890
36124793
39410583
28055897
30305021
33237038
38439715
38971948
39603659
38682183
37906341
38812741
26820536
40258838",Decoding Multi-Omics Signatures in Lower-Grade Glioma Using Protein-Protein Interaction-Informed Graph Attention Networks and Ensemble Learning.,,"biomarker discovery"", ""graph attention network"", ""lower-grade glioma"", ""multi-omics integration"", ""protein–protein interaction network",2025-11-27
6,"41273593
18802446
9377276
35711777
31942999
32963212
28575679
31066453
30664679
32528949
32485108
30606105
34320340",Uncovering Key Genes in Neurodegenerative Diseases Through Unsupervised Learning: A Variance-Based LSTM and Enrichment Analysis Approach.,"This study presents an integrated approach for discovering and clustering significant genes associated with neurodegenerative diseases using a combination of variance-based filtering, Long Short-Term Memory (LSTM) neural networks, and enrichment analysis. By first filtering genes based on their variance across samples, we retain genes with high biological relevance. These selected genes are then used to train an LSTM model, capturing complex interactions between gene expression patterns. Using Uniform Manifold Approximation and Projection (UMAP) for dimensionality reduction and K-Means for clustering, we group genes with similar expression profiles. The optimal number of clusters is determined using the Silhouette Score. To refine the model, we introduce a feedback loop where cluster labels are fed back into the LSTM as additional features, enhancing the model's ability to detect significant gene associations. We compare various network architectures to assess their impact on clustering performance. Finally, enrichment analysis reveals key biological pathways, such as immune regulation and protein signaling, related to Parkinson's disease, Alzheimer's disease, and amyotrophic lateral sclerosis (ALS). Our approach demonstrates the potential of machine learning and clustering to uncover meaningful gene associations, offering insights into the molecular mechanisms underlying neurodegenerative diseases.","Alzheimer’s disease (AD)"", ""Amyotrophic lateral sclerosis (ALS)"", ""Biomarker discovery"", ""Enrichment analysis"", ""Feature selection"", ""Gene clustering"", ""High-dimensional data analysis"", ""LSTM"", ""Neurodegenerative diseases"", ""Parkinson’s disease (PD)"", ""Unsupervised learning",2025-11-22
7,"41249716
31423716
34376590
37845351
19515410
39454629
35204517
11800065
16545965
16176118
20226257
19624828
16010967
30170598
34082055
26374920
11895076
30239554
8379904
21047922
11574399
34081616
40403110",Whole-body ,"Early disruptions in systemic glucose regulation may occur even before overt glycemic abnormalities manifest. This study investigated whether patterns of inter-regional glucose uptake coordination, derived from whole-body ¹⁸F-FDG PET/CT, could reveal latent subclinical metabolic phenotypes among normoglycemic adults.
We analyzed 536 clinically normoglycemic adults (fasting blood glucose < 6.1 mmol/L) who underwent whole-body ¹⁸F-FDG PET/CT. For each subject, pairwise lean body mass normalized standardized uptake value ratios (SUL
Two distinct metabolic phenotypes were identified within the normoglycemic cohort (Phenotype A and Phenotype B), with no significant differences in age, sex, BMI, or fasting blood glucose. Phenotype A was characterized by lower myocardium-to-peripheral ratios (versus adipose, skeletal muscle, and lung) and higher brain-to-myocardium and brain-to-fat ratios compared to Phenotype B. At the network level, Phenotype A showed stronger positive correlations between myocardial and peripheral uptakes, indicating tighter systemic coupling despite reduced relative cardiac allocation. These patterns qualitatively mirrored those observed in prediabetic and diabetic groups.
Whole-body ¹⁸F-FDG PET/CT identified metabolically distinct phenotypes in adults with normal fasting glucose, differentiated by both pairwise uptake ratios and systemic network coordination. These findings highlight latent metabolic heterogeneity in clinically healthy individuals and provide a basis for future investigations into early systemic metabolic alterations.","18F-FDG"", ""Clustering"", ""Diabetics"", ""Gaussian mixture model"", ""Metabolic phenotyping"", ""Normoglycemia"", ""Whole-body PET/CT",2025-11-18
8,"41228302
38339123
38230766
33538338
22322322
20154587
21720365
20407318
27458531
30813239
18698038
30753333
31068700
34356119
27029752
20942669
30550483
36338962
39627836
39178946
40360993
40428117
33613862
34862527
10548103
35707211
15016911
34518686
36905928
23555212
33020491
29738475
24037242
23257362
23839242
25948244
25750696
23104886
28263959
37436864
19176549
15173114
28077403
23001348
27721378
29192214
22969157
26113877
26300000
40110201
22351925
36196720
27351229
14609433
22292752
23344261
27471965
26942671
39846983
6604576
3861241
31904865
23840707
34470661
36861035
33011111
26775620
24441040
25743081
20645283
24212662
21376230
20720586
12782713
26351349
23307860
11683406
28275576
1348364",Subtype Characterization of Ovarian Cancer Cell Lines Using Machine Learning and Network Analysis: A Pilot Study.,,"cancer biomarkers"", ""cancer informatics"", ""dimensionality reduction"", ""machine learning"", ""network analysis"", ""transcriptome profiling",2025-11-13
9,41213031,Decoding tumor heterogeneity with imaging biomarkers predicts response to TACE plus immunotherapy and targeted therapy in HCC (CHANCE2204).,"This study aims to quantify intratumoral heterogeneity (ITH) and identify prognostic imaging biomarkers in patients with HCC treated with transarterial chemoembolization combined with immune checkpoint inhibitor plus molecular targeted therapy (TACE-ICI-MTT).
This multicenter cohort study included 742 patients with unresectable HCC who received first-line TACE-ICI-MTT from January 2018 to December 2022. Radiomic features representing global tumor regions (GTRs) and ITH were extracted from pretreatment CT scans. A composite GTR-ITH score was generated using principal component analysis to integrate both GTR- and ITH-related features. Ensemble learning with multiple machine learning algorithms was employed to predict treatment response. Model performance was evaluated by the area under the receiver operating characteristic curve (AUC). Following feature selection, 17 GTR- and 27 ITH-related radiomic features were retained to construct the GTR-ITH score. The model demonstrated high discriminative performance, with AUCs of 0.94 in the training set, 0.82 in the internal validation set, and 0.83 in the independent test set. The GTR-ITH score was strongly associated with treatment response (OR: 34.39; p<0.001) and independently predicted overall survival (HR: 0.63; p=0.004). Patients classified as GTR-ITH low-risk consistently showed significantly prolonged progression-free survival and overall survival. To reveal the biological relevance of the radiomic score, immune infiltration patterns were characterized using bulk RNA sequencing data from the Cancer Imaging Archive. The GTR-ITH low-risk group also exhibited an immune-inflamed microenvironment characterized by enriched plasma cells and M1 macrophages, and reduced M2 macrophage infiltration.
An imaging radiomic biomarker that captures both global and intratumoral heterogeneity robustly predicts response and survival in patients with HCC treated with TACE-ICI-MTT, and reflects underlying immune microenvironment phenotypes.","biomarker"", ""carcinoma"", ""chemoembolization therapeutic"", ""combined modality therapy"", ""hepatocellular"", ""immunotherapy"", ""molecular targeted therapy"", ""radiomics"", ""therapeutic",2025-11-10
